category,file,frames_processed,frames_with_pose,detection_rate,error
bench_press,arc2_bench_press_12.mp4,150,150,100.0,
bench_press,arc2_bench_press_13.mp4,78,77,98.72,
bench_press,arc2_bench_press_14.mp4,54,45,83.33,
bench_press,arc2_bench_press_15.mp4,99,98,98.99,
bench_press,arc2_bench_press_16.mp4,72,42,58.33,
bench_press,arc2_bench_press_17.mp4,104,104,100.0,
bench_press,arc2_bench_press_18.mp4,81,81,100.0,
bench_press,arc2_bench_press_19.mp4,71,56,78.87,
bench_press,arc2_bench_press_2.mp4,58,58,100.0,
bench_press,arc2_bench_press_20.mp4,65,65,100.0,
bench_press,arc2_bench_press_21.mp4,82,81,98.78,
bench_press,arc2_bench_press_22.mp4,62,61,98.39,
bench_press,arc2_bench_press_23.mp4,64,64,100.0,
bench_press,arc2_bench_press_24.mp4,70,69,98.57,
bench_press,arc2_bench_press_25.mp4,51,51,100.0,
bench_press,arc2_bench_press_26.mp4,62,32,51.61,
bench_press,arc2_bench_press_27.mp4,62,23,37.1,
bench_press,arc2_bench_press_28.mp4,103,102,99.03,
bench_press,arc2_bench_press_3.mp4,86,86,100.0,
bench_press,arc2_bench_press_30.mp4,65,64,98.46,
bench_press,arc2_bench_press_31.mp4,77,70,90.91,
bench_press,arc2_bench_press_32.mp4,115,115,100.0,
bench_press,arc2_bench_press_33.mp4,70,70,100.0,
bench_press,arc2_bench_press_34.mp4,146,132,90.41,
bench_press,arc2_bench_press_36.mp4,139,125,89.93,
bench_press,arc2_bench_press_39.mp4,755,605,80.13,
bench_press,arc2_bench_press_4.mp4,60,60,100.0,
bench_press,arc2_bench_press_40.mp4,225,166,73.78,
bench_press,arc2_bench_press_41.mp4,68,66,97.06,
bench_press,arc2_bench_press_42.mp4,125,105,84.0,
bench_press,arc2_bench_press_43.mp4,63,53,84.13,
bench_press,arc2_bench_press_44.mp4,125,125,100.0,
bench_press,arc2_bench_press_46.mp4,45,45,100.0,
bench_press,arc2_bench_press_47.mp4,65,59,90.77,
bench_press,arc2_bench_press_48.mp4,160,81,50.62,
bench_press,arc2_bench_press_49.mp4,75,72,96.0,
bench_press,arc2_bench_press_5.mp4,46,46,100.0,
bench_press,arc2_bench_press_50.mp4,50,9,18.0,
bench_press,arc2_bench_press_51.mp4,58,33,56.9,
bench_press,arc2_bench_press_52.mp4,35,28,80.0,
bench_press,arc2_bench_press_53.mp4,43,19,44.19,
bench_press,arc2_bench_press_54.mp4,82,35,42.68,
bench_press,arc2_bench_press_55.mp4,30,2,6.67,
bench_press,arc2_bench_press_56.mp4,107,69,64.49,
bench_press,arc2_bench_press_57.mp4,100,91,91.0,
bench_press,arc2_bench_press_58.mp4,46,46,100.0,
bench_press,arc2_bench_press_6.mp4,63,52,82.54,
bench_press,arc2_bench_press_60.mp4,141,130,92.2,
bench_press,arc2_bench_press_61.mp4,105,105,100.0,
bench_press,arc2_bench_press_7.mp4,83,82,98.8,
bench_press,arc2_bench_press_8.mp4,83,82,98.8,
chest_fly_machine,arc2_chest_fly_machine_1.mp4,150,149,99.33,
chest_fly_machine,arc2_chest_fly_machine_10.mp4,102,102,100.0,
chest_fly_machine,arc2_chest_fly_machine_11.mp4,108,108,100.0,
chest_fly_machine,arc2_chest_fly_machine_12.mp4,106,106,100.0,
chest_fly_machine,arc2_chest_fly_machine_13.mp4,93,93,100.0,
chest_fly_machine,arc2_chest_fly_machine_14.mp4,110,110,100.0,
chest_fly_machine,arc2_chest_fly_machine_15.mp4,148,141,95.27,
chest_fly_machine,arc2_chest_fly_machine_16.mp4,80,80,100.0,
chest_fly_machine,arc2_chest_fly_machine_17.mp4,131,131,100.0,
chest_fly_machine,arc2_chest_fly_machine_18.mp4,132,132,100.0,
chest_fly_machine,arc2_chest_fly_machine_19.mp4,312,311,99.68,
chest_fly_machine,arc2_chest_fly_machine_2.mp4,104,104,100.0,
chest_fly_machine,arc2_chest_fly_machine_20.mp4,204,204,100.0,
chest_fly_machine,arc2_chest_fly_machine_21.mp4,215,215,100.0,
chest_fly_machine,arc2_chest_fly_machine_22.mp4,453,453,100.0,
chest_fly_machine,arc2_chest_fly_machine_23.mp4,420,420,100.0,
chest_fly_machine,arc2_chest_fly_machine_24.mp4,180,180,100.0,
chest_fly_machine,arc2_chest_fly_machine_25.mp4,255,254,99.61,
chest_fly_machine,arc2_chest_fly_machine_26.mp4,756,754,99.74,
chest_fly_machine,arc2_chest_fly_machine_3.mp4,80,80,100.0,
chest_fly_machine,arc2_chest_fly_machine_4.mp4,135,135,100.0,
chest_fly_machine,arc2_chest_fly_machine_5.mp4,97,97,100.0,
chest_fly_machine,arc2_chest_fly_machine_6.mp4,129,129,100.0,
chest_fly_machine,arc2_chest_fly_machine_7.mp4,97,97,100.0,
chest_fly_machine,arc2_chest_fly_machine_8.mp4,153,150,98.04,
chest_fly_machine,arc2_chest_fly_machine_9.mp4,153,153,100.0,
deadlift,arc2_deadlift_1.mp4,150,150,100.0,
deadlift,arc2_deadlift_10.mp4,150,149,99.33,
deadlift,arc2_deadlift_13.mp4,263,263,100.0,
deadlift,arc2_deadlift_14.mp4,150,150,100.0,
deadlift,arc2_deadlift_15.mp4,68,68,100.0,
deadlift,arc2_deadlift_16.mp4,109,109,100.0,
deadlift,arc2_deadlift_17.mp4,147,147,100.0,
deadlift,arc2_deadlift_18.mp4,105,105,100.0,
